sentence,aspect,sentiment,subjectivity
quality display  i was surprised with the performance and quality of this hp laptop.,performance,positive,0
quality display  i was surprised with the performance and quality of this hp laptop.,quality,positive,0
the internet capabilities are also very strong and picks up signals very easily.,internet capabilities,positive,0
"its fast, has high definition quality in the videos.",high definition quality,positive,0
another great thing is the beast graphics.,beast graphics,positive,0
the ease of set up was terrific.,set up,positive,0
everything i have tried has worked and i never have to carry the wall charger cause the battery is so awesome.,battery,positive,0
screen size is perfect for portable use in any environment.,screen size,positive,0
i now realize that my $900 would have been better spent on a windows laptop.,windows,positive,0
"it works great for general internet use, microsoft office apps, home bookkeeping, etc.",microsoft office apps,positive,0
"it works great for general internet use, microsoft office apps, home bookkeeping, etc.",internet use,positive,0
"the price was very good, and the product is top quality.",price,positive,0
"the price was very good, and the product is top quality.",quality,positive,0
"its small enough where i can take it pretty much anywhere, but still has a big enough screen to get everything done.",screen,positive,0
"it even has a great webcam, and skype works very well.",webcam,positive,0
"it even has a great webcam, and skype works very well.",skype,positive,0
"i love the solid machined aluminum frame, and the keyboard is the best of any laptop i've used.",machined aluminum frame,positive,0
"i love the solid machined aluminum frame, and the keyboard is the best of any laptop i've used.",keyboard,positive,0
you can even run a parallels type program easily and run any leftover pc software that you absolutely cannot be without.,parallels type program,positive,0
you can even run a parallels type program easily and run any leftover pc software that you absolutely cannot be without.,software,positive,0
this computer i used daily nice compact design.,design,positive,0
"the ati graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a intel built-in card would have trouble with, such as half-life 2 or even world of warcraft.",ati graphics card,positive,0
"the ati graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a intel built-in card would have trouble with, such as half-life 2 or even world of warcraft.",intel built-in card,positive,0
it has easy to use features and all the speed and power i could ask for.,features,positive,0
it has easy to use features and all the speed and power i could ask for.,speed,positive,0
it has easy to use features and all the speed and power i could ask for.,power,positive,0
"my power supply cord developed exposed wires within the first year of ownership, so it was covered by the applecare warranty plan.",applecare warranty plan,positive,0
i preferred the fit and feel of the 13 inch.,13 inch,positive,0
"the final cut pro on this laptop is so fast and easy, and i can use this to seemlessly transfer all my work to my home computer, which is also a mac.",final cut pro,positive,0
"the mac snow leopard o/s is extremely easy to use, although very different than win xp, visa or win7.",mac snow leopard o/s,positive,0
"the mac snow leopard o/s is extremely easy to use, although very different than win xp, visa or win7.",use,positive,0
"the screen is nice and the images comes very clear, the keyboard and the fit just feels right.",screen,positive,0
"the screen is nice and the images comes very clear, the keyboard and the fit just feels right.",keyboard,positive,0
"the screen is nice and the images comes very clear, the keyboard and the fit just feels right.",fit,positive,0
super fast processor and really nice graphics card..,processor,positive,0
super fast processor and really nice graphics card..,graphics card,positive,0
"but sitting on a lap or on a desk in front of you it looks more than big enough (this could be because im used to my lenovo 10 tablet now) plus this is a great size if i want to unplug the external keyboard, mouse, and monitor to take it with me when i take photos and video.",size,positive,0
i cannot be happier with the service or product.,service,positive,0
"i do transcription work on the side, and the flatline keyboard makes typing quick and easy as well.",flatline keyboard,positive,0
"i love windows 7 but i can't give toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",windows 7,positive,0
the resolution on the screen is almost pure hd.,resolution on the screen,positive,0
"great value, fast delivery- computer works as if brand new, no problems, very pleased",delivery,positive,0
"great value, fast delivery- computer works as if brand new, no problems, very pleased",value,positive,0
"as a user of a pc, i will will admit that the macbook pro has a better running system in which i found myself ""getting the job done quicker.",running system,positive,0
and they replaced the awesome ergonomic small lightweight power supply with a power supply that weighed more than the machine itself.,power supply,positive,0
enjoy that toshib force and durability unparalleled,force,positive,0
enjoy that toshib force and durability unparalleled,durability,positive,0
which is great i am running vista business and scored a 5.x on the index i have never seen a windows machine have a total score in the 5's.,vista business,positive,0
"we love the size of the screen, although it is still lightweight and very easy to tote around.",size of the screen,positive,0
"we love the size of the screen, although it is still lightweight and very easy to tote around.",tote,positive,0
"i would definitely reccomend this if you are in the market for an easy to use, stylish, fun, awesome computer.",use,positive,0
"if you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of win 7 and grab a 2gb stick of memory to spice it all up a bit more.",win 7,positive,0
"if you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of win 7 and grab a 2gb stick of memory to spice it all up a bit more.",2gb stick of memory,positive,0
it's software and speed enable it to do amazing things.,software,positive,0
it's software and speed enable it to do amazing things.,speed,positive,0
"i am most impressed with the programming, including the iphoto.",programming,positive,0
"i am most impressed with the programming, including the iphoto.",iphoto,positive,0
"i upgraded it's ram to 2gb, i am very happy with it.",ram,positive,0
i purchased a toshiba satellite m60 (with harman/kardon speakers!) in december of 2005.,speakers,positive,0
battery life could be better but overall for the price and toshiba's reputation for laptops it's great!,price,positive,0
"the windows 7 starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",windows 7 starter,positive,0
the neat and organized icon list is a welcome change from cluttered and confusing desktop icons.,icon list,positive,0
"apparently well-built and gorgeous to look at, the i5 macbook pro is a winning combination of price and performance.",price,positive,0
"apparently well-built and gorgeous to look at, the i5 macbook pro is a winning combination of price and performance.",performance,positive,0
"apparently well-built and gorgeous to look at, the i5 macbook pro is a winning combination of price and performance.",built,positive,0
"apparently well-built and gorgeous to look at, the i5 macbook pro is a winning combination of price and performance.",look,positive,0
"the apple care has never failed me, and i expect it to be the same for this computer as well.",apple care,positive,0
the toshiba laptop i am using is easier to use than most i have tried.,use,positive,0
"i love the size, keyboard, the functions.",size,positive,0
"i love the size, keyboard, the functions.",keyboard,positive,0
"i love the size, keyboard, the functions.",functions,positive,0
the os is still as fast as the day that the laptop was purchased and continues to run flawlessly.,os,positive,0
the os is still as fast as the day that the laptop was purchased and continues to run flawlessly.,run,positive,0
"my friend reports the notebook is astonishing in performance, picture quality, and ease of use.",performance,positive,0
"my friend reports the notebook is astonishing in performance, picture quality, and ease of use.",picture quality,positive,0
"my friend reports the notebook is astonishing in performance, picture quality, and ease of use.",use,positive,0
the i3 processor doesn't seem to run hot and the fan rarely turns on.,i3 processor,positive,0
the i3 processor doesn't seem to run hot and the fan rarely turns on.,fan,positive,0
very convenient when you travel and the battery life is excellent...,battery life,positive,0
this is great if you have several lectures back to back and don't have a chance to charge during one of the lectures.,charge,positive,0
i especially like the backlit keyboard.,backlit keyboard,positive,0
"besides the great look, it is a great machine.",look,positive,0
right size and weight for portability.,size,positive,0
right size and weight for portability.,weight,positive,0
right size and weight for portability.,portability,positive,0
"treat yourself to a more expensive, long-lasting laptop of quality like a sony, apple, or toshiba.",quality,positive,0
(no problem with the ordering or shipping by the way.,shipping,positive,0
and the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,ram,positive,0
and the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,performance,positive,0
and the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,surf the web,positive,0
"fast, great visual!",visual,positive,0
it's priced very reasonable and works very well right out of the box.,priced,positive,0
it's priced very reasonable and works very well right out of the box.,works,positive,0
"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",keyboard,positive,0
there are so many wonderful features and benefits to the new macbook!,features,positive,0
the mcbook pro notebook will make it easy for you to write and read your emails at blazing speeds.,speeds,positive,0
"however, i love this particular mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",size,positive,0
"however, i love this particular mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",features,positive,0
"however, i love this particular mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",lighted keyboard,positive,0
"however, i love this particular mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",mouse pad,positive,0
the trackpad was easy to learn and navigate.,trackpad,positive,0
"applications open in seconds and there are no lags, hiccups or awkward moments when you wonder whether your computer is out for tea.",applications,positive,0
it has just enough ram to run smoothly and enough memory to satisfy my needs.,ram,positive,0
it has just enough ram to run smoothly and enough memory to satisfy my needs.,memory,positive,0
the resolution is even higher then any other laptop on the market.,resolution,positive,0
it is very easy to type on and feels great - besides the added feature that the keyboard is lighted.,keyboard,positive,0
it is very easy to type on and feels great - besides the added feature that the keyboard is lighted.,feature,positive,0
it is very easy to type on and feels great - besides the added feature that the keyboard is lighted.,type,positive,0
the feel of this machine compared to the old macbook is far superior.,feel,positive,0
"but with a way bigger screen, and is able to connect to an hdmi.",screen,positive,0
the overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,build quality,positive,0
it is fast and i have not had a problem with internet connection or any other problems.,internet connection,positive,0
i'm really impressed with the quality and performance for the price of the computer.,quality,positive,0
i'm really impressed with the quality and performance for the price of the computer.,performance,positive,0
i'm really impressed with the quality and performance for the price of the computer.,price,positive,0
"in addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",photo detection software,positive,0
"it is so simple to use, i use it more than my desktop.",use,positive,0
"the quality, engineering design and warranty are superior--covers damage from dropping the laptop.",quality,positive,0
"the quality, engineering design and warranty are superior--covers damage from dropping the laptop.",engineering design,positive,0
"the quality, engineering design and warranty are superior--covers damage from dropping the laptop.",warranty,positive,0
"the applications are also very easy to find and maneuver, much easier than any other computer i have ever owned.",applications,positive,0
the large screen gives you the option to comfortably watch movies or tv shows on your computer instead of buying an additional tv for your dorm room.,screen,positive,0
"great laptop for school, easy to use for beginners in the household.",use,positive,0
not to mention the fact that your mac comes fully loaded with all necessary basic programs.,programs,positive,0
"all of the programs (keynote, pages, numbers) have an option to save your documents as microsoft compatible, which really eliminates the need for the actual.",programs,positive,0
"sure, the initial out of pocket expense is greater, but that should not dissuade anyone from the fact that these machines run like none other on the planet, and when i factor in all the money in that i wasted on geek squad and the latest patches to de-corrupt my infested pcs, it probably comes out about even anyhow.",run,positive,0
"the best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.",components,positive,0
"the best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.",price,positive,0
"the best thing to do is build your own computer, but if u can't company's like dell who allow you to choose the components are better and for the same price you can get a computer who compares to one of apple $2000 systems and if you google ""dell coupons"" you can find codes that take a signifant  amount off the price.",price,positive,0
for me i was lucky and a local store was selling them for $2000 off and best buy matched their price so i was able to buy one for under $1000,price,positive,0
i believe that the quality of a mac is worth the price.,quality,positive,0
i believe that the quality of a mac is worth the price.,price,positive,0
"the 13"" macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product.",shipping,positive,0
"the 13"" macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product.",price,positive,0
"the 13"" macbook pro just fits in my budget and with free shipping and no tax to ca this is the best price we can get for a great product.",budget,positive,0
"i also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",design,positive,0
"i also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",looks,positive,0
"i also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",feel,positive,0
"i also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",my toshiba feature,positive,0
"also it is very good for college students who just need a reliable, easy to use computer.",use,positive,0
"only other thing is that if you are using this for document creation apple doesnt provide any kind of word processor (such as works for windows), but iwork is cheap compared to office.",iwork,positive,0
it is light and the battery last a very long time.,battery,positive,0
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,applications,positive,0
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,iphoto,positive,0
also it comes with very useful applications like iphoto that it is the best photo application i have ever had,photo application,positive,0
"the acer one computer that i bought is 17 ince screen and its hard to find lap top bags for it, but i like the big screen on it.",screen,positive,0
i can have both osx and windows xp running at the same time!,osx,positive,0
i can have both osx and windows xp running at the same time!,windows xp,positive,0
"overall : poor, features: average, performance: poor, battery life: excellent, price-value: poor",battery life,positive,0
the graphics are stunning.,graphics,positive,0
"(i found a 2gb stick for a bit under $50) nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.",system,positive,0
it is easy to navigate and update programs.,navigate,positive,0
", applications respond immediately (not like the tired ms applications).",applications,positive,0
"all in all, a very disappointing experience except that i learned how good the geek squad is and also customer service.",customer service,positive,0
"the laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",carry,positive,0
"the laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",weight,positive,0
"seems to slow down occassionally but can run many applications (ie internet tabs, programs, etc) simultaneously.",applications,positive,0
"seems to slow down occassionally but can run many applications (ie internet tabs, programs, etc) simultaneously.",internet tabs,positive,0
i had in the past a dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it.,repair technician,positive,0
it is good to know that i can mobilize without having to worry about the battery life.,battery life,positive,0
"the screen is nice, side view angles are pretty good.",screen,positive,0
"the fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,positive,0
"the fact that the screen reacts to the lighting around you is an added luxury-when you are working around others in dark areas and want privacy or don't want to bother them with bright lighting, it is very convenient to have a darker, softer lit screen.",screen,positive,0
"looks nice, but has a horribly cheap feel.",looks,positive,0
"i have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",signals,positive,0
"the feel of this is better than the toshiba, too.",feel,positive,0
i would recommend this laptop to anyone looking to get a new laptop who is willing to spend a little more money to get great quality!,quality,positive,0
"i upgraded the memory and replaced the base windows 7 starter to win 7 home, and it runs just fine.",runs,positive,0
"also, one of the users mentioned how the edges on the macbook is sharp, if you have money to spend on one of the incase shells, it doesn't seem to be a problem.",incase shells,positive,0
"it is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",keyboard,positive,0
"it is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",weight,positive,0
"it is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",use,positive,0
the battery is really long.,battery,positive,0
comes with imovie;,imovie,positive,0
when i called sony the customer service was great.,customer service,positive,0
"it is a much more streamlined system for adding programs, using the internet, and doing other things everyone does on a computer.",system,positive,0
the powerpoint opened seamlessly in the apple and the mac hooked up to the projector so easily it was almost scary.,powerpoint,positive,0
strengths:well-shaped weaknesses:a bad videocard!,shaped,positive,0
"it is a real touchpad, not the toy i saw in other brands.",touchpad,positive,0
price and purpose is awesome!,price,positive,0
wonderful zooming.,zooming,positive,0
"the screen is huge and coloful, but no led backlighting.",screen,positive,0
everything about this computer is easy to use.,use,positive,0
it had most of the features and all of the power that i wanted to replace my desktop machine.,features,positive,0
it had most of the features and all of the power that i wanted to replace my desktop machine.,power,positive,0
keyboard was also very nice and had a solid feel.,keyboard,positive,0
there is a backlit keyboard which is perfect for typing in the dark.,backlit keyboard,positive,0
it has a lot of memory and a great battery life.,memory,positive,0
it has a lot of memory and a great battery life.,battery life,positive,0
"i love this program, it is superior to windows movie maker.",program,positive,0
"this purchase opened me to the world of macbooks, and i am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",design,positive,0
"this purchase opened me to the world of macbooks, and i am impressed with the intuition of the design, the beauty of the product, and the excellent technological advances associated with it.",beauty,positive,0
"the price is great for this model, i only plan on using it for media in the entertainment room.",price,positive,0
was very much worth the price i paid.,price,positive,0
this is a great little computer for the price.,price,positive,0
"crisp screen, great battery life, and plenty of storage.",screen,positive,0
"crisp screen, great battery life, and plenty of storage.",battery life,positive,0
"crisp screen, great battery life, and plenty of storage.",storage,positive,0
"all apple associates are always wiling to help you out with anything, no matter when you purchased the computer and how many years passed.",apple associates,positive,0
the toshiba satellite has been more than i expected for the price.,price,positive,0
"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",mac osx,positive,0
"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",operating system,positive,0
i also love having the extra calculator number set up on the keyboard which most laptops do not have.,keyboard,positive,0
you can do it all on this bad boy but the main thing this netbook was desinged for was surfing the web and boy o boy does it ever.,surfing the web,positive,0
"i love my apple, it is quick and easy to use.",use,positive,0
"the laptop is relatively simple to use, though i bought  macs for dummies,  which is well worth $2",use,positive,0
the touch pad is among the best.,touch pad,positive,0
"how toshiba handles the repair seems to vary, some folks  indicate that they were charged for even an intial fix, others had the  repair done 5 times.",repair,positive,0
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.",service center,negative,0
"the tech guy then said the service center does not do 1-to-1 exchange and i have to direct my concern to the ""sales"" team, which is the retail shop which i bought my netbook from.","""sales"" team",negative,0
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",gui,negative,0
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,negative,0
" one night i turned the freaking thing off after using it, the next day i turn it on, no gui, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,negative,0
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,negative,0
i can barely use any usb devices because they will not stay connected properly.,usb devices,negative,0
when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed.,system,negative,0
"one suggestion i do have, is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc.",microsoft office for the mac,negative,0
the machine is slow to boot up and occasionally crashes completely.,boot up,negative,0
"after paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,negative,0
"after numerous attempts of trying (including setting the clock in bios setup directly), i gave up(i am a techie).",clock in bios setup,negative,0
you will not be able to talk to an american warranty service is out of country.,warranty service,negative,0
but now i have realized its a problem with this brand.,brand,negative,0
also kinda loud when the fan was running.,fan,negative,0
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,negative,0
"in desparation, i called their customer service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,negative,0
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,negative,0
there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,negative,0
drivers updated ok but the bios update froze the system up and the computer shut down.,bios update,negative,0
drivers updated ok but the bios update froze the system up and the computer shut down.,system,negative,0
"speaking of the browser, it too has problems.",browser,negative,0
the keyboard is too slick.,keyboard,negative,0
"it's like 9 punds, but if you can look past it, it's great!",9 punds,negative,0
"still under warrenty so called toshiba, no help at all.",warrenty,negative,0
i was happy with my purchase of a toshiba satellite l305d-s5934 laptop until it came time to have it repaired under the toshiba warranty.,toshiba warranty,negative,0
"a month or so ago, the freaking motherboard just died.",motherboard,negative,0
"the system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,negative,0
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,charger,negative,0
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,0
it rarely works and when it does it's incredibly slow.,works,negative,0
purchased a toshiba lap top it worked good until just after the warrenty went out.,warrenty,negative,0
"the reality was, it heated up very quickly, and took way too long to do simple things, like opening my documents folder.",opening my documents folder,negative,0
i had always used pcs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,negative,0
"then, within 5 months, the charger crapped out on me.",charger,negative,0
  i continued to take the computer in again and they replaced the hard drive and mother board yet again.,hard drive,negative,0
  i continued to take the computer in again and they replaced the hard drive and mother board yet again.,mother board,negative,0
"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,negative,0
"then hp sends it back to me with the hardware screwed up, not able to connect.",hardware,negative,0
"oh yeah, don't forget the expensive shipping to and from hp.",shipping,negative,0
"everything is so easy to use, mac software is just so much simpler than microsoft software.",microsoft software,negative,0
"and if you do a lot of writing, editing is a problem since there is no  forward delete  key.",delete  key,negative,0
"and if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,0
enabling the battery timer is useless.,battery timer,negative,0
"but we had paid for bluetooth, and there was none.",bluetooth,negative,0
"so, i paid a visit to lg notebook service center at alexandra road, hoping they can make the hinge tighter.",hinge,negative,0
after about a week i finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,negative,0
"it was slow, locked up, and also had hardware replaced after only 2 months!",hardware,negative,0
they had to replace the motherboard in april,motherboard,negative,0
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",representive at microsoft,negative,0
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",system,negative,0
i love windows 7 which is a vast improvment over vista.,vista,negative,0
dell's customer disservice is an insult to it's customers who pay good money for shoddy products.,dell's customer disservice,negative,0
"it had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",cooling system,negative,0
you won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,virus program,negative,0
"2 months later, the battery went.",battery,negative,0
keys are all in weird places and is way too large for the way it is designed.,keys,negative,0
keys are all in weird places and is way too large for the way it is designed.,designed,negative,0
"and not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,negative,0
"  it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,0
"  it gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,0
"i wish it had a webcam though, then it would be perfect!",webcam,negative,0
"one drawback, i wish the keys were backlit.",keys,negative,0
i wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,0
i wish the volume could be louder and the mouse didnt break after only a month.,mouse,negative,0
it caught a virus that completely wiped out my hard drive in a matter of hours.,hard drive,negative,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,safari,negative,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,safari,negative,0
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",bluetooth,negative,0
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",fingerprint reader driver,negative,0
"the bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,negative,0
i've been impressed with the battery life and the performance for such a small amount of memory.,memory,negative,0
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",resolution,negative,0
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",appearance,negative,0
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",cooling system,negative,0
"they improved nothing else such as resolution, appearance, cooling system, graphics card, etc.",graphics card,negative,0
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in webcam,negative,0
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",built-in mic,negative,0
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",cam,negative,0
"i got it back and my built-in webcam and built-in mic were shorting out anytime i touched the lid, (mind you this was my means of communication with my fiance who was deployed) but i suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",mic,negative,0
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,board,negative,0
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,connector,negative,0
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,0
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,warrenty,negative,0
  the board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,power supply,negative,0
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",webcam,negative,0
"after a little more than a year of owning my macbook pro, the monitor has completely died.",monitor,negative,0
"size: i know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",size,negative,0
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,base installation,negative,0
additional caveat: the base installation comes with some toshiba-specific software that may or may not be to a user's liking.,software,negative,0
  taking it back to best buy i found that a tiny plastic piece inside had broken (manuf issue).,manuf,negative,0
the amd turin processor seems to always perform so much better than intel.,intel,negative,0
the start menu is not the easiest thing to navigate due to the stacking.,start menu,negative,0
the start menu is not the easiest thing to navigate due to the stacking.,navigate,negative,0
only thing i would want to add to this is an internal bluray read/write drive.,bluray read/write drive,negative,0
the service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.,service tech,negative,0
"the tech store i purchased this from sent it back,,,,,eventually i got a new or repaired machine approximately 3 weeks later.",tech store,negative,0
"high price tag, however.",price tag,negative,0
"i had static in the output, and i had to reduce the sound output quality to ""fm"" as opposed to the default ""cd.",sound output quality,negative,0
i custom ordered the machine from hp and could not understand the techie due to his accent.,techie,negative,0
runs hot  i thought we were paying for quality in our decision to buy an apple product.,quality,negative,0
"for the not so good, i got the stock screen - which is very glossy.",stock screen,negative,0
i would like to have volume buttons rather than the adjustment that is on the front.,volume buttons,negative,0
the processor a amd semprom at 2.1 ghz is a bummer it does not have the power for hd or heavy computing.,processor,negative,0
the processor a amd semprom at 2.1 ghz is a bummer it does not have the power for hd or heavy computing.,computing,negative,0
it seems they could have updated xp and done without creating vista.,vista,negative,0
"the other lock-up problems are from a myriad of causes, the most common being a corrupted version of appleworks which can render the browser useless.",appleworks,negative,0
"the other lock-up problems are from a myriad of causes, the most common being a corrupted version of appleworks which can render the browser useless.",browser,negative,0
the paint wears off easily due to the keyboard being farther back than usual.,paint,negative,0
the paint wears off easily due to the keyboard being farther back than usual.,keyboard,negative,0
the store honored their warrenty and made the comment that they don't even recommend the hp brand because of the problems with their warrentys.,warrentys,negative,0
"they sent out the box right away for me to send in my computer, they paid postage and whatnot, but when i got my computer back it still wasn't running right, and now my cd drive wasn't reading anything!",cd drive,negative,0
"they sent out the box right away for me to send in my computer, they paid postage and whatnot, but when i got my computer back it still wasn't running right, and now my cd drive wasn't reading anything!",running,negative,0
once i removed all the software the laptop loads in 15-20 seconds.,software,negative,0
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,trackpad,negative,0
on my powerbook g4 i would never use the trackpad i would use an external mouse because i didn't like the trackpad.,trackpad,negative,0
this computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.,games,negative,0
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).",inbuilt applications,negative,0
"yeah, of course smarty pants ""fix it now"")software - compared to the early 2011 edition i did see inbuilt applications crashing and it prompted me to send the report to apple (which i promptly did).",software,negative,0
the body is a bit cheaply made so it will be interesting to see how long it holds up.,body,negative,0
the i5 blows my desktop out of the water when it comes to rendering videos.,i5,negative,0
"i think part of the problem with this computer is vista, yet i know vista isn't the entire issue because my latest purchase was my acer and it also has vista (i should have waited the few months to get the next operating system).",vista,negative,0
"i think part of the problem with this computer is vista, yet i know vista isn't the entire issue because my latest purchase was my acer and it also has vista (i should have waited the few months to get the next operating system).",vista,negative,0
